,Type,Gender,Officer-defined ethnicity,Object-of-search,Outcome,Outcome-linked-to-object-of-search,years,Age-min,Age-max
227,1,1,3,1,7,0,0,0,0
228,0,1,0,6,13,0,0,1,1
229,0,1,1,3,7,0,0,1,1
230,1,0,1,3,13,1,0,1,1
231,0,0,1,3,7,0,0,1,1
232,1,1,3,3,7,0,0,2,2
233,1,1,3,10,7,0,0,2,2
234,0,1,1,3,13,1,0,2,2
235,0,1,0,3,13,1,0,2,2
236,0,1,0,3,13,1,0,2,2
237,0,1,0,3,13,1,0,2,2
238,0,1,0,3,13,1,0,2,2
239,1,1,3,10,7,0,0,0,0
240,0,1,3,3,13,1,0,1,1
241,0,1,0,3,13,1,0,2,2
242,1,0,1,10,13,1,0,0,0
245,0,1,1,3,9,1,0,2,2
246,0,1,1,3,7,0,0,2,2
247,0,1,3,3,13,0,0,2,2
248,0,1,1,3,7,0,0,1,1
249,0,1,1,3,13,0,0,1,1
250,0,1,0,3,14,1,0,2,2
251,1,1,3,3,7,0,0,1,1
252,0,1,1,3,7,0,0,1,1
253,0,1,3,3,7,0,0,1,1
254,0,1,3,3,7,0,0,1,1
255,0,1,1,3,7,0,0,1,1
256,0,1,3,3,9,1,0,0,0
258,0,1,3,8,7,0,0,0,0
260,1,1,0,8,7,0,0,2,2
261,0,1,1,3,13,1,0,2,2
262,1,0,3,3,13,1,0,2,2
263,1,1,3,3,13,1,0,2,2
264,0,1,0,3,13,0,0,1,1
265,1,1,2,1,14,0,0,2,2
266,0,1,1,3,9,1,0,0,0
267,1,1,0,10,7,0,0,0,0
268,0,1,0,3,13,1,0,1,1
269,0,1,1,3,13,1,0,2,2
270,0,1,0,3,13,0,0,1,1
271,1,1,3,1,13,1,0,2,2
272,0,0,1,3,7,0,0,2,2
273,0,1,1,3,7,0,0,1,1
274,1,1,0,3,7,0,0,1,1
275,0,1,3,3,9,1,0,0,0
276,0,1,0,8,13,1,0,1,1
277,0,1,0,3,13,1,0,1,1
278,0,1,0,3,13,0,0,2,2
279,0,1,2,10,6,1,0,2,2
280,0,1,3,1,13,0,0,2,2
281,0,1,3,3,7,0,0,2,2
282,1,0,1,1,13,1,0,1,1
283,1,1,2,10,7,0,0,2,2
284,1,1,2,10,7,0,0,0,0
285,0,1,3,3,13,1,0,1,1
286,0,1,0,3,13,0,0,1,1
287,1,1,3,10,6,1,0,2,2
288,0,1,3,3,7,0,0,2,2
289,1,1,0,2,7,0,0,1,1
290,0,1,0,6,7,0,0,2,2
291,0,1,0,8,7,0,0,2,2
292,0,1,3,3,13,1,0,2,2
293,1,1,3,10,7,0,0,0,0
294,0,1,3,3,13,1,0,1,1
295,0,1,3,1,13,0,0,1,1
296,1,1,3,1,13,0,0,0,0
297,1,1,3,10,13,1,0,0,0
298,1,1,1,3,7,0,0,1,1
299,1,1,1,3,7,0,0,1,1
300,1,0,1,3,7,0,0,1,1
301,1,1,1,8,7,0,0,2,2
302,0,1,1,3,13,1,0,1,1
303,0,0,1,3,13,0,0,1,1
304,0,1,3,3,13,1,0,2,2
306,1,1,0,10,13,0,0,2,2
307,1,1,1,1,7,0,0,2,2
308,1,1,0,3,7,0,0,2,2
309,0,0,1,6,7,0,0,1,1
310,0,0,1,6,7,0,0,1,1
313,1,1,3,10,7,0,0,2,2
314,1,1,3,1,7,0,0,1,1
315,0,1,3,1,7,0,0,1,1
316,0,1,1,3,7,0,0,2,2
317,0,1,1,3,7,0,0,2,2
318,1,1,3,1,7,0,0,2,2
319,0,1,1,8,7,0,0,1,1
320,0,1,1,3,9,1,0,1,1
321,0,1,0,3,7,0,0,1,1
322,0,1,0,3,9,1,0,1,1
323,0,1,0,3,7,0,0,1,1
324,1,1,3,8,7,0,0,2,2
325,1,1,3,10,7,0,0,2,2
326,0,1,0,3,7,0,0,0,0
327,0,1,0,3,7,0,0,0,0
328,1,1,3,2,7,0,0,1,1
329,1,1,1,2,7,0,0,1,1
330,1,1,2,2,7,0,0,1,1
331,0,1,3,3,13,1,0,1,1
332,1,1,3,1,13,0,0,0,0
333,0,1,1,3,7,0,0,1,1
334,0,1,1,3,7,0,0,1,1
335,0,1,1,3,7,0,0,1,1
336,0,1,1,3,7,0,0,1,1
338,0,1,1,3,7,0,1,2,2
339,0,1,1,3,7,0,1,2,2
340,1,1,3,2,7,0,1,1,1
341,1,1,3,2,7,0,1,1,1
344,1,1,1,3,9,1,1,1,1
345,1,1,3,2,7,0,1,0,0
346,0,0,3,1,7,0,1,0,0
347,1,1,3,3,9,1,1,1,1
348,1,1,3,3,7,0,1,1,1
349,1,1,1,1,7,0,1,1,1
350,0,1,0,3,7,0,1,1,1
351,0,1,0,3,13,1,1,1,1
352,0,1,0,3,7,0,1,2,2
353,1,1,3,10,7,0,1,0,0
354,1,1,1,10,6,1,1,0,0
355,0,1,3,8,7,0,1,0,0
356,0,1,3,3,13,1,1,1,1
357,1,1,3,3,9,1,1,0,0
358,0,1,0,8,13,1,1,1,1
359,1,1,3,1,7,0,1,1,1
362,1,1,0,8,13,1,1,2,2
363,1,1,3,10,13,1,1,0,0
364,1,1,3,10,13,1,1,0,0
365,1,1,3,1,7,0,1,0,0
366,1,1,2,1,7,0,1,0,0
367,1,1,2,1,6,1,1,0,0
368,1,1,3,10,7,0,1,0,0
369,1,0,3,10,7,0,1,0,0
370,1,1,3,10,13,1,1,0,0
371,1,1,1,10,13,1,1,0,0
372,1,1,3,1,7,0,1,0,0
373,1,1,3,10,7,0,1,0,0
374,1,1,3,1,13,0,1,2,2
375,1,1,3,1,7,0,1,1,1
376,0,1,1,6,7,0,1,2,2
377,0,1,3,6,7,0,1,2,2
378,1,1,3,10,7,0,1,0,0
379,1,0,3,10,7,0,1,1,1
380,1,1,1,10,6,1,1,1,1
381,1,1,3,10,13,1,1,1,1
382,1,1,1,10,13,1,1,0,0
383,0,1,0,10,14,0,1,2,2
384,1,0,3,10,13,1,1,2,2
385,1,1,3,8,13,1,1,0,0
386,1,1,3,3,7,0,1,2,2
387,1,1,3,10,7,0,1,2,2
388,1,1,3,3,7,0,1,1,1
389,0,1,0,3,7,0,1,1,1
390,1,1,3,10,13,0,1,0,0
391,1,1,1,10,13,0,1,0,0
392,1,1,3,10,7,0,1,1,1
393,1,1,3,10,13,1,1,0,0
394,1,0,3,10,13,1,1,1,1
395,1,0,3,10,13,1,1,2,2
396,1,1,3,10,13,1,1,1,1
397,1,1,1,1,7,0,1,2,2
398,1,1,1,1,7,0,1,0,0
399,1,1,1,1,7,0,1,0,0
400,1,1,3,10,7,0,1,1,1
401,1,1,0,1,13,0,1,1,1
402,1,1,0,10,7,0,1,0,0
403,0,1,2,3,13,1,1,1,1
404,0,1,1,3,7,0,1,1,1
405,0,0,0,3,7,0,1,1,1
406,1,1,3,1,7,0,1,0,0
407,1,1,3,10,13,1,1,0,0
409,0,1,0,3,7,0,1,1,1
410,1,1,3,3,9,1,1,1,1
411,0,1,0,3,14,1,1,1,1
412,1,1,3,1,13,0,1,2,2
414,1,1,3,3,7,0,1,2,2
415,1,1,0,3,7,0,1,2,2
416,1,1,3,1,7,0,1,0,0
417,0,1,3,10,13,0,1,1,1
418,0,1,3,10,7,0,1,2,2
419,0,1,1,1,13,0,1,2,2
420,1,1,0,10,6,1,1,2,2
421,1,1,3,1,7,0,1,2,2
422,1,1,3,1,13,0,1,0,0
423,0,1,3,1,7,0,1,0,0
424,0,1,3,1,7,0,1,0,0
425,0,0,3,1,7,0,1,2,2
426,0,0,3,1,7,0,1,0,0
427,0,1,3,3,13,1,1,1,1
428,0,1,1,3,9,1,1,2,2
430,0,1,0,3,7,0,1,1,1
431,0,1,0,3,7,0,1,1,1
432,0,1,0,3,7,0,1,1,1
433,0,1,0,3,14,1,1,2,2
434,0,1,1,8,7,0,1,1,1
435,0,1,0,3,13,1,1,2,2
436,0,1,0,3,13,1,1,2,2
437,1,1,1,1,6,1,1,2,2
439,1,0,3,10,7,0,1,1,1
440,1,0,3,10,7,0,1,1,1
441,1,1,3,1,7,0,1,2,2
442,0,1,3,1,10,0,1,0,0
443,0,1,0,3,9,1,1,2,2
444,1,1,1,1,7,0,1,2,2
446,1,1,3,10,6,1,1,0,0
447,0,1,3,3,9,1,1,2,2
448,0,1,1,3,14,1,1,1,1
449,1,1,3,3,9,1,1,1,1
450,1,1,3,10,7,0,1,0,0
451,0,1,3,1,7,0,1,0,0
452,0,1,3,1,7,0,1,2,2
453,0,0,3,1,7,0,1,2,2
454,0,0,3,1,7,0,1,2,2
455,1,1,3,0,7,0,1,0,0
456,1,0,3,3,13,0,1,2,2
457,0,1,3,3,7,0,1,1,1
458,0,1,3,3,13,1,1,1,1
459,1,1,3,8,7,0,1,1,1
460,0,1,1,3,13,1,1,2,2
461,1,1,3,10,6,1,1,1,1
462,1,1,1,10,13,1,1,0,0
463,1,1,3,10,7,0,1,0,0
466,0,1,0,3,7,0,1,2,2
