,Type,Gender,Officer-defined ethnicity,Object-of-search,Outcome,Outcome-linked-to-object-of-search,years,Age-min,Age-max
1713,1,1,3,10,7,1,2,1,1
1714,1,1,3,1,7,0,2,1,1
1715,1,1,3,1,7,0,2,2,2
1716,1,1,3,10,6,1,2,0,0
1717,1,0,3,10,6,1,2,2,2
1718,0,1,0,3,13,1,2,1,1
1719,1,1,3,0,7,0,2,1,1
1720,1,1,3,0,7,0,2,2,2
1721,1,1,3,0,7,0,2,2,2
1722,1,1,2,10,13,1,2,0,0
1723,0,1,1,10,14,0,2,2,2
1724,0,1,1,3,7,0,2,2,2
1725,1,1,3,1,7,0,2,0,0
1726,0,1,3,3,9,1,2,1,1
1727,1,1,3,1,13,1,2,0,0
1728,1,1,3,10,7,0,2,0,0
1729,0,1,1,6,13,1,2,1,1
1730,0,1,1,0,7,0,2,1,1
1731,0,1,3,0,7,0,2,2,2
1732,1,1,3,10,13,0,2,0,0
1735,0,0,2,3,7,0,2,1,1
1736,0,1,2,3,7,0,2,1,1
1737,1,1,2,10,7,0,2,2,2
1738,1,1,0,10,6,1,2,2,2
1739,1,0,3,10,7,1,2,1,1
1740,0,1,3,0,13,1,2,0,0
1741,1,0,3,1,7,0,2,2,2
1742,1,1,3,1,7,0,2,2,2
1743,1,1,3,1,7,0,2,1,1
1744,1,1,3,10,7,0,2,1,1
1745,1,1,0,3,7,0,2,2,2
1746,1,1,0,3,7,0,2,2,2
1747,1,1,2,3,7,0,2,2,2
1748,0,1,0,3,7,0,2,2,2
1749,1,0,3,10,7,0,2,0,0
1750,1,1,3,1,6,0,2,0,0
1751,0,1,3,3,7,0,2,1,1
1752,1,1,3,3,7,0,2,1,1
1753,1,1,3,10,7,1,2,1,1
1755,0,1,3,3,13,1,2,2,2
1756,0,1,1,3,7,0,2,1,1
1758,1,1,3,10,7,0,2,0,0
1759,1,1,0,3,7,0,2,2,2
1760,1,1,0,3,9,1,2,2,2
1761,1,1,0,3,7,0,2,2,2
1762,1,1,0,5,7,0,2,0,0
1763,1,1,3,0,7,0,2,2,2
1764,1,1,3,3,7,0,2,1,1
1765,1,1,3,10,7,0,2,2,2
1766,1,1,3,1,7,0,2,0,0
1767,1,1,0,3,9,1,2,2,2
1768,1,0,1,3,13,0,2,2,2
1769,1,1,3,0,7,0,2,0,0
1770,1,1,3,1,7,0,2,0,0
1771,1,1,3,1,7,0,2,0,0
1773,1,1,3,1,13,1,2,0,0
1774,1,1,3,3,9,1,2,2,2
1775,1,1,3,3,7,0,2,1,1
1776,1,1,3,3,9,0,2,2,2
1777,1,1,2,10,13,0,2,2,2
1781,1,0,0,0,7,0,2,1,1
1782,1,1,3,1,13,1,2,2,2
1783,1,1,1,3,7,0,2,2,2
1784,1,1,3,0,7,0,2,1,1
1785,1,1,3,1,7,0,2,0,0
1786,1,1,3,1,7,0,2,2,2
1787,1,1,3,10,7,0,2,2,2
1788,1,1,3,10,7,0,2,2,2
1789,1,1,3,1,7,0,2,0,0
1790,1,1,3,10,7,0,2,2,2
1791,1,1,0,3,9,1,2,1,1
1792,0,1,3,3,7,0,2,1,1
1793,0,2,1,3,13,1,2,2,2
1794,1,1,3,1,7,0,2,0,0
1795,1,0,2,3,7,0,2,2,2
1796,1,1,3,1,7,0,2,0,0
1797,1,1,2,1,7,0,2,1,1
1798,1,1,2,10,7,0,2,0,0
1799,1,1,2,10,7,0,2,0,0
1800,1,0,1,1,7,0,2,0,0
1801,1,1,0,1,7,0,2,2,2
1802,0,1,0,3,13,1,2,1,1
1803,1,1,0,3,7,0,2,1,1
1804,1,1,3,3,9,1,2,1,1
1807,1,1,3,3,9,1,2,0,0
1808,0,1,0,3,13,1,2,2,2
1809,1,1,0,3,13,1,2,2,2
1810,1,1,3,1,13,0,2,1,1
1811,1,1,0,1,7,0,2,1,1
1812,1,1,0,1,7,0,2,2,2
1813,1,1,0,10,13,0,2,2,2
1814,0,1,3,3,13,1,2,1,1
1815,0,1,3,3,13,1,2,0,0
1816,1,1,1,3,13,1,2,1,1
1817,1,1,3,1,7,0,2,2,2
1818,1,1,2,10,7,0,2,2,2
1819,1,1,1,10,7,0,2,0,0
1820,1,0,2,10,7,0,2,0,0
1821,1,1,3,0,7,0,2,1,1
1822,1,1,2,1,6,1,2,1,1
1823,1,1,1,10,9,0,2,1,1
1824,0,1,3,5,7,0,2,2,2
1825,0,1,1,3,7,0,2,1,1
1826,1,1,3,0,7,0,2,2,2
1827,0,1,3,3,13,1,2,1,1
1829,1,1,3,3,7,0,2,1,1
1830,1,1,3,3,7,0,2,1,1
1831,0,1,1,0,7,0,2,1,1
1832,0,1,2,0,7,0,2,1,1
1833,1,1,0,3,9,1,2,1,1
1834,1,1,2,3,7,0,2,1,1
1835,1,1,3,3,9,1,2,1,1
1836,1,1,3,3,9,1,2,1,1
1837,1,1,0,6,7,0,2,1,1
1838,1,1,1,1,7,0,2,1,1
1840,1,1,3,1,7,0,2,1,1
1841,1,0,0,5,7,0,2,2,2
1842,0,1,0,3,7,0,2,2,2
1843,1,1,1,3,7,0,2,1,1
1844,0,1,3,3,13,1,2,1,1
1845,0,1,2,3,9,1,2,1,1
1846,1,1,1,10,7,0,2,0,0
1847,1,1,0,1,7,0,2,0,0
1848,0,1,3,3,13,1,2,2,2
1849,1,1,2,10,7,0,2,2,2
1850,1,1,1,10,7,0,2,2,2
1851,1,1,2,10,7,0,2,0,0
1852,1,0,3,3,9,1,2,2,2
1853,1,1,3,3,7,0,2,1,1
1854,1,1,3,3,7,0,2,1,1
1855,1,1,3,3,7,0,2,1,1
1856,0,1,1,3,7,0,2,1,1
1857,0,1,1,3,7,0,2,2,2
1858,1,1,1,10,7,0,2,1,1
1859,1,1,1,3,7,0,2,1,1
1860,1,1,3,3,7,0,2,1,1
1861,1,1,1,5,7,0,2,0,0
1862,0,1,2,5,7,0,2,2,2
1863,1,1,0,3,7,0,2,1,1
1864,1,1,0,3,9,1,2,1,1
1865,0,1,0,3,9,1,2,1,1
1866,1,0,3,3,7,0,2,2,2
1867,1,1,1,3,7,0,2,2,2
1868,1,1,3,1,13,1,2,0,0
1869,1,1,0,3,7,0,2,1,1
1870,1,1,0,3,7,0,2,1,1
1871,1,1,0,3,7,0,2,1,1
1872,0,1,3,3,9,1,2,2,2
1873,1,1,3,5,7,0,2,0,0
1874,1,1,3,1,7,0,2,2,2
1875,1,1,3,1,7,0,2,2,2
1876,1,1,3,3,7,0,2,1,1
1877,1,1,3,3,9,1,2,1,1
1878,0,1,0,3,7,0,2,1,1
1879,0,1,1,3,7,0,2,2,2
1880,1,1,3,3,6,0,2,1,1
1882,0,1,2,3,7,0,2,1,1
1883,1,1,0,10,13,0,2,0,0
1885,1,1,0,1,7,0,2,2,2
1886,1,1,1,10,13,1,2,1,1
1887,1,1,0,10,13,0,2,0,0
1888,0,1,0,3,7,0,2,2,2
1889,1,1,3,1,13,0,2,1,1
1890,1,1,3,10,7,0,2,2,2
1891,1,1,3,3,13,1,2,1,1
1892,1,1,3,3,13,1,2,2,2
1893,1,1,3,3,7,0,2,1,1
1894,0,1,1,3,7,0,2,2,2
1895,1,1,0,3,9,1,2,2,2
1896,1,1,3,3,9,1,2,1,1
1897,1,1,3,0,13,1,2,2,2
1898,0,1,1,3,13,1,2,2,2
1899,1,0,1,3,10,1,2,0,0
1901,1,0,1,3,11,1,2,0,0
1902,1,1,3,3,0,0,2,1,1
1903,1,1,1,3,0,0,2,1,1
1904,1,0,1,3,0,0,2,1,1
1905,1,0,1,3,0,0,2,1,1
1907,1,1,4,3,0,0,2,1,1
1908,1,1,3,3,0,0,2,2,2
1909,1,1,3,3,0,0,2,2,2
1913,1,1,4,1,0,0,2,1,1
1914,1,1,0,1,0,0,2,2,2
1915,0,1,0,3,0,0,2,2,2
1916,0,1,1,3,1,1,2,2,2
1917,1,1,3,10,1,1,2,1,1
1918,1,1,3,10,0,0,2,2,2
1919,1,1,4,10,0,0,2,2,2
1921,1,1,3,3,0,0,2,0,0
1922,0,1,4,3,0,0,2,0,0
1923,0,1,4,3,1,1,2,2,2
1924,0,1,3,3,0,0,2,2,2
1925,1,1,4,3,0,0,2,1,1
1927,1,1,0,10,0,0,2,0,0
1928,0,1,0,3,0,0,2,2,2
1929,0,1,4,3,0,0,2,2,2
1930,1,1,3,10,0,0,2,0,0
1931,1,1,0,3,0,1,2,1,1
1932,0,1,0,3,5,1,2,1,1
1933,1,1,1,3,0,0,2,2,2
1934,0,1,4,3,0,0,2,2,2
1935,0,1,0,10,0,0,2,1,1
1936,1,1,4,10,0,0,2,1,1
1937,1,1,3,3,0,0,2,2,2
1938,1,1,3,10,0,1,2,0,0
1939,1,1,3,1,0,0,2,0,0
1941,1,1,3,3,1,1,2,2,2
1942,1,1,4,3,0,0,2,2,2
1943,1,1,3,1,0,0,2,2,2
1945,1,1,3,1,0,0,2,0,0
1946,1,1,3,1,0,0,2,0,0
1947,1,1,3,3,0,0,2,2,2
1948,1,1,3,1,1,1,2,0,0
1949,1,1,0,3,0,0,2,1,1
1950,1,1,0,3,0,0,2,1,1
1951,1,1,0,3,5,1,2,1,1
1953,1,1,3,3,1,1,2,2,2
1954,0,1,4,6,0,0,2,0,0
1955,1,1,4,3,0,0,2,1,1
1956,0,1,1,3,0,0,2,2,2
1957,1,1,3,8,0,1,2,0,0
1958,1,1,3,3,0,1,2,1,1
1959,1,1,3,3,5,1,2,2,2
1960,1,1,4,1,1,0,2,2,2
1961,1,1,3,3,1,1,2,2,2
1962,1,1,3,1,0,0,2,0,0
1963,1,1,3,3,0,0,2,2,2
1964,0,1,4,8,1,1,2,2,2
1965,0,1,4,1,0,0,2,1,1
1966,0,1,0,3,11,1,2,1,1
1967,1,1,4,1,0,0,2,1,1
1968,1,1,3,3,5,1,2,2,2
1969,1,1,3,3,1,1,2,2,2
1970,1,1,1,3,0,0,2,1,1
1971,1,1,1,3,0,0,2,2,2
1972,1,1,3,1,1,1,2,0,0
1973,1,1,3,1,1,0,2,1,1
1974,1,1,3,1,1,1,2,0,0
1976,1,1,3,3,0,0,2,1,1
1977,1,1,3,3,0,0,2,1,1
1978,1,1,1,8,0,0,2,1,1
1981,1,1,3,10,0,0,2,0,0
1982,1,1,3,1,0,0,2,0,0
1990,1,1,3,3,5,1,2,1,1
1991,1,1,0,10,0,1,2,0,0
1993,1,1,2,3,5,1,2,2,2
1994,1,1,0,3,5,1,2,1,1
1995,1,1,0,3,0,0,2,2,2
1998,1,1,1,3,0,0,2,1,1
1999,1,1,0,3,1,1,2,1,1
2000,0,1,0,3,1,1,2,1,1
2001,1,1,4,1,0,0,2,0,0
2002,1,1,3,1,0,1,2,2,2
2003,1,0,3,3,0,0,2,0,0
2004,1,1,3,3,0,0,2,0,0
2005,0,1,0,3,1,1,2,2,2
2006,1,1,3,10,4,0,2,0,0
2007,1,1,0,10,1,0,2,0,0
2008,1,1,3,10,1,1,2,2,2
2009,1,1,3,10,1,1,2,0,0
2010,0,1,2,3,0,0,2,1,1
2012,1,1,3,3,5,1,2,1,1
2014,1,1,0,3,0,0,2,2,2
2015,1,1,0,3,0,0,2,2,2
2016,0,1,3,3,1,0,2,1,1
2017,0,1,4,3,1,1,2,2,2
2019,1,1,3,10,0,0,2,0,0
2020,0,1,0,3,0,0,2,1,1
2021,0,1,0,3,0,0,2,1,1
2023,0,1,3,3,1,1,2,2,2
2024,1,1,0,1,0,0,2,2,2
2025,1,1,0,3,0,0,2,1,1
2026,1,1,1,3,1,1,2,2,2
2027,1,1,1,1,1,1,2,0,0
2028,1,1,0,3,0,0,2,2,2
2032,1,1,3,10,0,0,2,0,0
2036,0,1,0,3,1,1,2,1,1
2037,1,1,3,1,0,0,2,0,0
2038,1,1,3,3,0,0,2,1,1
2039,1,1,3,1,0,0,2,1,1
2041,1,1,0,3,0,1,2,1,1
2042,1,1,3,1,0,0,2,2,2
2044,1,1,1,10,1,1,2,0,0
2045,1,1,3,3,5,1,2,2,2
2046,1,1,3,1,1,1,2,0,0
2047,0,1,3,3,1,1,2,1,1
2048,1,1,1,3,0,0,2,0,0
2049,0,1,3,10,0,0,2,0,0
2050,0,1,3,3,0,0,2,0,0
2052,1,1,2,1,0,0,2,1,1
2053,0,1,1,3,0,1,2,2,2
2054,1,1,0,1,1,0,2,0,0
2055,1,1,0,3,0,0,2,1,1
2057,1,1,3,10,0,0,2,0,0
2058,1,1,3,1,0,0,2,2,2
2060,0,1,0,3,0,0,2,1,1
2062,1,1,3,1,0,0,2,2,2
2063,1,1,1,1,0,0,2,1,1
2066,1,1,3,10,0,0,2,0,0
2067,1,0,3,1,0,0,2,2,2
2068,1,0,3,1,0,0,2,2,2
2069,1,0,3,1,0,0,2,2,2
2070,1,1,0,1,0,0,2,1,1
2074,0,1,3,3,0,0,2,1,1
2075,1,1,0,10,1,1,2,0,0
2076,0,1,0,3,1,1,2,2,2
2077,1,1,3,3,5,1,2,1,1
2078,1,1,3,3,5,1,2,2,2
2079,1,1,3,3,5,1,2,1,1
2080,1,1,3,10,1,1,2,0,0
2081,1,1,3,1,0,0,2,0,0
2082,0,1,1,3,1,1,2,2,2
2083,1,0,3,10,0,0,2,2,2
2084,1,1,1,3,0,0,2,1,1
2087,1,1,1,3,0,0,2,1,1
2088,1,1,3,1,0,0,2,0,0
2091,1,1,3,3,0,0,2,2,2
2092,1,1,3,3,11,1,2,1,1
2094,0,1,1,3,11,1,2,0,0
2095,0,1,3,3,0,0,2,0,0
2096,1,1,3,3,0,1,2,0,0
2098,0,1,0,3,1,1,2,0,0
2099,0,1,1,6,0,0,2,1,1
2100,1,0,1,8,0,0,2,2,2
2101,1,1,2,1,1,0,2,0,0
2102,1,1,3,3,1,1,2,2,2
2103,0,1,3,3,1,0,2,2,2
2104,0,1,1,3,1,1,2,2,2
2105,1,0,3,1,0,1,2,2,2
2106,1,1,3,8,0,0,2,2,2
2107,0,1,3,8,4,1,2,0,0
2111,1,1,3,8,0,0,2,0,0
2115,0,1,1,8,1,1,2,0,0
2116,0,1,1,3,1,1,2,2,2
2117,1,1,1,10,0,0,2,0,0
2119,1,1,3,8,0,0,2,2,2
2121,1,1,3,1,1,0,2,2,2
2122,0,0,3,3,0,0,2,1,1
2123,1,0,3,10,0,0,2,2,2
2124,1,1,3,3,0,0,2,2,2
2125,1,1,0,10,0,1,2,0,0
2127,1,0,1,10,1,1,2,0,0
2128,0,1,3,3,1,1,2,1,1
2129,1,1,1,1,1,1,2,1,1
2131,1,1,3,3,1,1,2,1,1
2132,0,1,3,3,1,1,2,1,1
2134,1,1,3,3,0,0,2,1,1
2135,1,1,4,3,0,0,2,2,2
2136,1,0,3,3,0,0,2,1,1
2137,1,0,0,3,0,0,2,1,1
2138,0,1,3,3,1,1,2,1,1
2139,1,1,3,8,0,0,2,2,2
2140,1,0,3,10,0,0,2,0,0
2142,1,1,0,1,0,0,2,0,0
2144,0,1,3,3,0,0,2,1,1
2145,1,1,3,10,0,0,2,2,2
2146,0,1,3,3,0,0,2,2,2
2147,0,1,3,3,0,0,2,2,2
2149,0,1,3,3,1,1,2,1,1
2150,0,1,3,3,1,1,2,1,1
2151,1,1,3,3,0,0,2,1,1
2152,1,1,3,8,0,0,2,0,0
2154,1,1,3,1,1,0,2,0,0
2155,1,0,3,3,0,1,2,1,1
2156,0,0,0,3,0,0,2,1,1
2157,1,1,1,3,5,1,2,1,1
2158,1,0,3,3,3,0,2,1,1
2159,1,1,1,3,5,1,2,1,1
2160,1,1,3,3,5,1,2,1,1
2161,1,1,3,3,1,1,2,1,1
2162,1,0,0,1,0,0,2,1,1
2163,1,1,3,10,4,0,2,1,1
2164,0,1,3,3,1,1,2,1,1
2166,0,1,3,3,0,0,2,2,2
2168,0,1,0,3,1,1,2,1,1
2169,1,1,1,3,0,0,2,1,1
2170,0,1,1,3,0,0,2,2,2
2171,1,1,1,3,5,1,2,1,1
2172,0,1,1,3,0,0,2,2,2
2173,1,1,1,3,0,0,2,0,0
2174,1,1,3,1,1,1,2,1,1
2175,1,1,3,1,1,1,2,2,2
2176,1,1,3,3,0,0,2,2,2
2178,1,1,1,3,5,1,2,2,2
2180,1,1,1,10,0,0,2,2,2
2182,1,0,3,3,1,1,2,0,0
2183,1,1,0,3,0,0,2,0,0
2185,1,1,3,3,0,0,2,2,2
2186,0,1,3,3,0,0,2,2,2
2188,0,0,3,3,0,0,2,2,2
2192,1,1,0,3,0,0,2,1,1
2193,0,1,3,3,1,1,2,2,2
2194,1,1,1,3,0,0,2,2,2
2195,0,1,3,3,1,1,2,2,2
2196,1,1,3,3,0,1,2,0,0
2197,0,1,3,3,5,1,2,0,0
2198,0,1,1,6,0,0,2,2,2
2199,0,1,3,3,1,1,2,1,1
2202,1,1,3,1,0,0,2,1,1
2203,1,1,3,1,0,0,2,1,1
2204,1,1,3,1,0,1,2,0,0
2205,1,1,0,3,0,0,2,0,0
2206,1,0,0,10,0,0,2,0,0
2207,1,1,1,1,0,0,2,0,0
2208,1,1,3,1,0,0,2,2,2
2209,1,1,3,1,0,0,2,2,2
2210,1,1,3,1,0,0,2,2,2
2211,1,1,3,8,0,0,2,2,2
2212,0,1,3,3,5,1,2,0,0
2213,0,1,1,3,5,1,2,0,0
2214,1,1,1,3,0,0,2,1,1
2215,1,1,3,3,0,0,2,1,1
2216,1,0,1,10,0,0,2,1,1
2218,1,0,1,10,0,0,2,0,0
2219,1,0,1,10,0,0,2,1,1
2220,1,1,3,1,0,0,2,1,1
2221,0,1,1,3,0,1,2,1,1
2222,1,1,1,10,1,0,2,1,1
2224,1,1,4,3,0,1,2,2,2
2225,1,1,1,8,0,1,2,0,0
2227,1,1,3,3,5,1,2,2,2
2228,1,1,0,3,1,1,2,2,2
2230,1,1,3,1,4,0,2,0,0
2232,1,1,0,8,0,0,2,0,0
2234,0,1,3,3,1,1,2,2,2
2235,1,1,3,3,0,0,2,2,2
2237,0,1,3,3,12,1,2,2,2
2238,0,1,3,3,5,1,2,0,0
2239,0,1,3,3,1,1,2,2,2
2240,0,1,1,8,0,0,2,1,1
2241,1,1,3,3,0,0,2,2,2
2242,1,1,3,3,5,1,2,2,2
2243,1,0,3,3,0,0,2,0,0
2244,1,1,3,3,0,0,2,0,0
2245,0,1,1,3,0,0,2,2,2
2247,1,1,0,3,0,0,2,1,1
2249,0,1,1,6,0,0,2,2,2
2250,0,1,1,6,0,0,2,1,1
2251,1,1,0,1,0,0,2,0,0
2252,1,1,1,3,1,1,2,2,2
2253,1,1,3,1,4,0,2,0,0
2254,1,1,3,10,0,0,2,0,0
2256,1,1,0,6,0,0,2,2,2
2257,0,1,0,6,0,0,2,2,2
2258,0,1,0,2,1,0,2,0,0
2259,0,1,3,3,0,0,2,2,2
2260,0,1,3,3,1,1,2,1,1
2261,0,1,0,3,1,1,2,2,2
2262,1,0,3,3,5,1,2,2,2
2264,1,1,3,3,0,0,2,2,2
2266,1,1,3,1,0,0,2,1,1
2267,1,1,3,10,0,0,2,0,0
2268,1,1,3,10,0,0,2,0,0
2269,1,1,3,2,0,0,2,1,1
2270,1,1,1,10,0,0,2,0,0
2271,1,1,3,3,0,0,2,2,2
2272,1,1,0,3,11,1,2,1,1
2273,1,1,3,3,5,1,2,1,1
2274,0,1,0,3,0,0,2,0,0
2275,1,1,0,3,0,0,2,1,1
2276,1,0,0,3,0,0,2,1,1
2277,1,1,3,1,0,0,2,1,1
2278,0,1,3,3,0,0,2,1,1
2279,1,1,3,1,4,1,2,2,2
2280,1,1,3,1,4,0,2,0,0
2281,1,1,0,3,0,0,2,1,1
2282,1,1,0,3,0,0,2,1,1
2283,1,1,0,3,0,0,2,1,1
2284,1,1,0,3,0,0,2,1,1
2285,1,1,3,3,0,0,2,1,1
2289,1,0,3,3,1,1,2,2,2
2290,0,1,3,3,1,1,2,2,2
2291,1,1,3,2,0,0,2,2,2
2292,0,1,3,3,0,0,2,1,1
2293,1,1,1,8,0,0,2,1,1
2296,1,1,3,10,1,1,2,2,2
2298,1,1,1,8,1,0,2,0,0
2299,0,1,1,8,0,0,2,2,2
2301,0,1,1,3,1,1,2,0,0
2302,1,1,1,3,1,1,2,0,0
2303,1,0,3,3,0,0,2,2,2
2304,1,0,3,3,0,0,2,0,0
2305,1,1,1,3,0,0,2,0,0
2306,1,1,3,5,0,0,2,0,0
2307,1,1,3,5,0,0,2,0,0
2308,0,1,3,3,0,0,2,2,2
2309,0,1,3,3,0,0,2,0,0
2311,0,1,1,3,0,0,2,2,2
2313,1,0,3,10,0,0,2,0,0
2314,1,1,3,3,1,0,2,1,1
2315,1,1,3,3,1,0,2,0,0
2316,1,1,1,3,0,0,2,1,1
2317,1,1,3,1,0,0,2,0,0
2318,1,1,1,3,0,0,2,1,1
2321,1,1,2,3,1,1,2,1,1
2322,1,1,0,10,0,0,2,2,2
2323,0,1,3,3,0,0,2,1,1
2324,0,1,0,3,1,1,2,1,1
2325,1,1,1,8,0,0,2,1,1
2326,1,1,1,10,1,1,2,1,1
2327,1,1,1,1,0,0,2,1,1
2328,1,1,3,2,0,0,2,0,0
2329,1,1,3,3,0,0,2,1,1
2330,1,1,3,3,1,1,2,2,2
2331,0,1,3,3,1,1,2,0,0
2332,1,0,0,10,4,0,2,0,0
2333,1,1,1,1,0,0,2,2,2
2334,0,1,1,3,1,1,2,1,1
2338,1,1,3,5,0,0,2,0,0
2339,1,1,3,3,1,1,2,0,0
2340,1,1,3,3,0,0,2,0,0
2341,1,1,3,3,0,0,2,1,1
2345,0,1,3,3,0,0,2,1,1
2346,0,1,1,3,0,0,2,1,1
2347,0,1,3,3,0,0,2,1,1
2348,0,1,0,3,1,1,2,1,1
2349,1,1,3,3,0,0,2,0,0
2350,0,1,0,3,5,1,2,2,2
2351,1,1,3,3,0,0,2,0,0
2352,1,0,0,3,0,0,2,0,0
2354,0,1,0,3,0,0,2,2,2
2355,0,1,0,3,0,0,2,2,2
2356,1,1,3,10,0,0,2,2,2
2357,0,1,0,3,1,1,2,2,2
2358,0,1,3,3,0,0,2,2,2
2359,0,1,0,3,0,1,2,2,2
2361,1,1,1,3,0,1,2,1,1
2362,1,1,0,3,1,1,2,1,1
2363,1,1,3,8,0,0,2,2,2
2364,0,1,0,3,1,1,2,1,1
2365,0,1,0,3,5,1,2,1,1
2366,1,1,3,10,1,1,2,0,0
2367,1,1,3,8,0,0,2,0,0
2368,0,1,3,3,0,1,2,1,1
2370,0,1,0,3,0,0,2,2,2
2371,1,1,3,3,0,0,2,1,1
2372,1,1,3,3,0,0,2,1,1
2373,1,1,0,3,0,0,2,1,1
2375,1,1,0,3,0,0,2,1,1
2376,1,1,3,3,0,0,2,2,2
2377,1,1,3,1,4,1,2,2,2
2379,1,1,1,1,0,0,2,1,1
2380,1,1,3,2,0,1,2,2,2
2381,0,1,1,10,1,0,2,1,1
2382,1,1,0,3,0,0,2,2,2
2383,0,1,0,3,0,0,2,1,1
2385,1,1,3,3,5,1,2,1,1
2387,1,1,0,1,0,0,2,2,2
2388,1,1,3,1,1,1,2,0,0
2389,1,1,1,10,0,1,2,0,0
2390,1,1,3,1,0,0,2,2,2
2391,1,1,3,1,0,0,2,2,2
2392,0,1,3,3,0,0,2,2,2
2393,1,1,3,1,0,0,2,1,1
2395,1,1,3,10,0,0,2,2,2
2396,1,1,3,3,0,0,2,0,0
2397,1,1,3,1,1,1,2,0,0
2398,1,1,1,10,0,0,2,2,2
2399,0,1,3,3,1,1,2,1,1
2400,0,1,3,3,1,1,2,1,1
2402,0,1,1,3,0,0,2,1,1
2403,1,1,3,5,0,0,2,2,2
2404,1,1,3,3,0,0,2,0,0
2405,1,1,3,3,5,1,2,2,2
2407,1,1,0,3,0,0,2,2,2
2408,0,1,0,3,0,0,2,2,2
2409,1,1,0,3,0,0,2,2,2
2411,1,1,0,5,0,0,2,2,2
2412,1,1,3,1,0,0,2,2,2
2413,1,1,1,3,0,0,2,1,1
2414,1,1,0,3,0,0,2,1,1
2415,0,1,3,3,1,1,2,1,1
2416,0,1,3,3,1,1,2,2,2
2417,1,1,0,10,1,1,2,2,2
2419,1,1,1,10,0,1,2,1,1
2420,0,1,0,3,0,0,2,1,1
2421,1,1,0,3,0,0,2,1,1
2422,0,1,0,3,0,0,2,1,1
2423,1,1,1,10,1,1,2,1,1
2425,0,1,0,3,5,1,2,1,1
2426,1,1,1,10,0,0,2,1,1
2428,0,1,0,3,0,1,2,2,2
2429,0,1,0,3,0,1,2,1,1
2430,1,1,3,2,0,0,2,2,2
2431,0,0,3,3,5,1,2,1,1
2432,0,1,3,3,1,1,2,2,2
2433,0,0,0,3,0,0,2,1,1
2434,0,0,0,3,0,0,2,1,1
2435,1,1,3,3,0,0,2,1,1
2436,0,1,1,3,0,1,2,1,1
2437,0,1,1,3,1,1,2,1,1
2439,1,1,1,3,0,0,2,2,2
2440,0,1,0,3,0,0,2,2,2
2441,1,0,1,3,0,0,2,1,1
2442,1,0,0,3,0,0,2,1,1
2443,1,1,1,8,0,0,2,0,0
2444,1,1,0,2,1,1,2,0,0
2445,0,1,3,3,1,1,2,2,2
2446,0,1,1,3,5,1,2,2,2
2447,0,1,3,3,0,0,2,0,0
2453,1,1,3,3,0,0,2,2,2
2454,0,1,3,3,0,0,2,2,2
2455,0,1,3,3,1,1,2,2,2
2456,1,1,1,3,0,0,2,0,0
2462,1,1,0,10,0,0,2,2,2
2463,1,1,3,10,0,0,2,0,0
2464,1,1,3,3,5,0,2,2,2
2466,0,1,3,3,1,1,2,1,1
2467,1,1,1,10,0,0,2,1,1
2468,1,1,3,3,1,1,2,1,1
2469,1,1,3,2,1,1,2,0,0
2470,1,1,3,8,0,0,2,1,1
2471,1,1,1,8,0,0,2,1,1
2472,1,1,0,3,5,1,2,1,1
2473,1,1,0,3,5,1,2,1,1
2474,0,1,3,3,0,0,2,2,2
2475,1,1,1,3,0,0,2,2,2
2476,1,1,3,10,0,0,2,0,0
2477,1,1,1,8,0,0,2,1,1
2478,1,1,3,1,0,1,2,2,2
2479,1,1,0,10,5,1,2,0,0
2480,0,1,3,3,0,0,2,2,2
2481,1,0,3,3,0,0,2,0,0
2482,1,1,3,3,0,0,2,0,0
2483,1,1,3,3,5,1,2,2,2
2484,1,1,3,3,0,0,2,2,2
2486,1,1,3,10,0,0,2,2,2
2487,1,1,3,3,0,0,2,2,2
2488,0,1,3,3,1,1,2,1,1
2490,1,1,1,3,1,1,2,1,1
2491,1,1,0,3,1,1,2,2,2
2493,1,1,1,8,0,0,2,2,2
2494,1,1,0,3,0,0,2,1,1
2497,1,1,3,5,1,1,2,2,2
2498,1,1,1,1,1,1,2,0,0
2499,0,1,0,3,0,0,2,1,1
2500,0,1,0,3,0,0,2,1,1
2501,1,1,0,3,0,0,2,1,1
2502,0,1,0,3,0,1,2,1,1
2503,1,1,1,1,0,0,2,0,0
2504,0,1,3,3,1,1,2,1,1
2505,1,1,3,1,0,0,2,1,1
2506,1,1,3,2,0,0,2,2,2
2508,1,1,1,3,0,0,2,0,0
2509,1,1,3,1,0,0,2,2,2
2510,1,1,3,1,1,1,2,2,2
2511,0,1,3,3,0,0,2,1,1
2512,1,1,3,10,1,1,2,2,2
2513,1,1,3,3,1,1,2,1,1
2514,1,1,3,3,1,1,2,1,1
2515,0,1,0,3,1,1,2,1,1
2516,1,1,3,3,0,0,2,1,1
2517,1,1,3,3,5,1,2,2,2
2518,1,1,1,1,4,1,2,0,0
2519,0,1,3,3,1,1,2,1,1
2520,1,1,3,3,1,1,2,2,2
2521,1,1,3,3,0,0,2,2,2
2522,1,1,3,3,0,0,2,2,2
2523,0,0,3,3,1,1,2,1,1
2524,1,1,1,1,1,1,2,0,0
2525,0,1,3,3,1,0,2,1,1
2526,0,1,0,3,0,0,2,2,2
2527,0,1,0,3,0,0,2,2,2
