,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
183,2,3,1,1,1,2,9,1,3,1,50
184,2,3,1,1,1,2,9,2,3,2,2
185,3,6,1,1,1,2,19,1,3,1,49
186,1,6,1,1,1,1,9,3,3,1,11
187,2,6,2,1,1,2,3,1,3,1,19
188,2,6,1,4,1,2,9,2,3,1,1
189,1,6,2,4,1,1,9,3,2,2,34
190,2,3,1,4,1,2,9,1,3,2,26
191,1,6,2,5,7,1,9,1,3,2,31
192,2,6,1,1,1,2,9,1,3,1,48
193,2,6,1,1,1,2,19,2,3,1,39
194,2,6,2,6,2,1,9,1,3,1,40
195,2,6,2,6,2,2,9,1,3,2,23
196,1,3,2,4,2,1,9,3,2,1,21
197,1,6,2,4,2,1,9,3,3,2,19
198,1,6,2,1,1,1,9,3,2,1,8
199,2,6,1,4,1,2,8,1,3,1,46
200,1,6,1,1,1,1,19,3,3,2,51
201,1,6,2,4,5,1,9,3,3,1,26
202,1,4,2,1,1,1,9,3,3,2,58
203,2,6,2,4,2,1,9,1,3,1,23
204,2,6,2,4,2,1,9,2,3,2,44
205,2,6,1,4,4,1,9,1,3,2,24
206,2,6,1,4,4,1,9,2,3,1,14
207,2,6,1,4,4,2,3,1,3,1,26
208,1,6,1,6,1,1,3,1,2,1,15
209,2,6,1,4,1,1,9,1,3,2,28
210,2,6,1,1,1,1,9,2,1,1,52
211,2,6,1,1,1,1,9,2,2,1,50
212,2,6,1,1,1,2,9,1,3,1,47
213,5,3,1,1,1,1,9,1,3,2,32
214,5,3,1,1,1,2,9,1,3,2,48
215,1,6,2,1,1,1,9,2,3,2,34
216,2,6,2,1,1,2,9,1,3,2,22
217,2,6,2,1,1,2,9,2,3,2,55
218,2,6,2,4,1,2,1,1,3,1,42
219,2,6,1,1,1,2,1,1,3,1,34
220,1,3,1,1,1,1,4,1,2,2,54
221,1,3,2,1,1,1,9,3,2,2,51
222,3,3,2,1,1,1,3,1,1,1,17
223,2,4,1,1,1,1,9,1,3,1,46
224,2,6,2,1,1,2,3,1,3,1,50
225,2,1,1,1,1,1,19,1,3,1,46
226,2,1,1,1,1,2,21,1,3,1,46
227,2,6,1,4,1,2,1,1,3,1,43
228,2,6,1,1,1,2,1,1,3,1,27
229,2,3,1,4,1,1,8,1,3,1,36
230,2,3,1,4,1,2,8,1,3,1,32
231,2,3,1,1,1,2,9,1,3,2,38
232,1,6,1,1,1,1,3,2,3,1,23
233,2,6,1,4,1,1,9,1,3,1,25
234,2,6,1,1,1,2,9,1,3,1,49
235,2,6,1,1,1,2,1,1,3,2,22
236,1,3,1,4,1,1,9,3,3,2,42
237,1,6,1,4,1,1,9,3,3,1,62
238,1,6,1,1,1,1,9,1,3,1,26
239,2,3,1,1,1,2,1,1,2,1,44
240,2,6,1,1,1,1,9,2,3,2,12
241,1,6,1,1,1,1,9,3,3,1,78
242,2,6,1,1,1,1,19,1,3,1,42
243,2,6,1,1,1,2,9,1,3,1,47
244,3,6,1,1,1,2,3,1,3,1,27
245,2,6,1,1,1,2,9,1,3,2,55
246,2,6,1,7,1,2,1,1,2,1,44
247,1,6,1,4,1,1,9,3,3,2,10
248,1,6,1,4,1,1,9,3,3,2,5
249,1,3,1,6,1,1,9,1,3,1,20
250,1,3,1,6,1,1,9,2,2,1,21
251,2,3,1,1,1,1,9,1,3,2,45
252,2,3,1,1,1,2,20,1,2,1,35
253,3,6,1,1,1,2,9,1,3,2,43
254,2,6,1,1,1,2,9,1,3,2,29
255,1,1,2,6,1,1,9,1,3,2,32
256,1,6,1,1,1,1,5,3,2,2,19
257,3,6,1,4,1,3,1,1,3,1,22
258,2,3,1,1,1,1,9,1,3,1,22
259,2,3,1,1,1,1,9,2,3,2,19
260,2,3,1,1,1,2,9,1,3,2,58
261,2,3,1,1,1,2,9,2,3,1,82
262,2,6,1,4,1,2,9,1,3,1,35
263,2,1,1,1,1,2,9,1,3,2,46
264,1,6,1,1,1,1,9,3,3,2,68
265,2,1,1,4,1,2,9,1,3,2,33
266,2,6,1,4,1,2,1,1,3,1,17
267,1,3,1,4,1,1,9,3,2,1,30
268,1,6,1,1,1,1,9,1,3,1,23
269,2,4,1,1,1,2,9,1,3,1,62
270,1,6,1,1,1,1,2,1,2,1,15
271,1,6,1,1,1,1,9,3,2,2,78
272,3,1,1,5,1,2,9,1,3,1,49
273,3,1,1,5,1,3,9,1,3,2,26
274,2,6,1,4,1,2,3,2,1,1,23
275,1,6,1,1,1,1,9,3,3,1,17
276,1,3,1,1,1,1,5,3,3,1,15
277,1,6,1,4,1,1,9,3,3,1,25
278,2,6,1,4,1,2,1,1,3,1,26
279,2,3,1,1,1,1,9,1,3,1,89
280,1,6,1,1,1,1,9,3,3,2,15
281,1,6,1,4,1,1,9,3,2,1,22
282,1,3,1,4,1,1,9,3,1,1,40
283,2,6,1,7,1,2,8,2,3,1,48
284,3,3,1,1,1,2,9,1,3,2,29
285,2,6,1,1,1,2,1,1,2,1,22
286,2,6,1,1,1,1,9,1,3,1,57
287,2,6,1,1,1,1,9,2,3,2,25
288,2,6,1,1,1,2,9,1,3,1,71
289,1,6,1,1,1,1,8,3,3,2,29
290,3,6,1,1,1,1,9,2,2,2,71
291,2,3,1,1,1,1,9,1,3,2,19
292,2,3,1,1,1,2,1,1,3,1,19
293,2,3,1,1,1,2,1,1,2,1,44
294,2,6,1,1,1,2,3,1,2,1,25
295,2,3,1,1,1,1,9,1,3,1,24
296,2,3,1,1,1,2,9,1,1,2,80
297,2,6,1,1,1,2,1,1,3,1,16
298,1,6,1,4,1,1,9,3,2,1,10
299,1,6,1,6,1,1,9,1,3,2,24
300,1,6,1,6,1,1,9,2,2,2,25
301,2,1,1,1,1,1,9,1,3,1,36
302,2,1,1,1,1,2,9,1,3,2,56
303,1,1,1,1,1,1,9,3,1,1,36
304,2,1,1,1,1,1,9,1,3,1,20
305,2,3,1,1,1,1,1,1,3,1,32
306,2,1,1,1,1,2,5,1,2,1,40
307,2,1,1,1,1,1,9,1,3,2,48
308,2,1,1,1,1,1,9,2,3,2,26
309,1,6,1,1,1,1,11,3,3,1,23
310,3,6,1,1,1,3,9,1,3,2,46
311,2,3,1,1,1,1,5,1,1,1,29
312,2,6,1,1,1,2,3,1,3,1,18
313,2,6,1,1,1,2,1,1,3,2,12
314,3,1,1,4,1,2,9,2,3,2,22
315,3,1,1,4,1,3,9,1,3,2,60
316,1,3,2,4,1,1,8,3,2,1,19
317,2,3,1,1,1,2,9,2,3,2,78
318,1,1,1,1,1,1,9,1,3,2,67
319,2,6,2,4,2,1,9,1,3,2,37
320,2,6,2,4,2,2,9,2,3,1,31
321,1,4,1,4,1,1,8,2,3,2,42
322,2,6,2,4,2,2,1,1,3,1,23
323,2,3,1,4,1,2,9,1,3,1,23
324,1,6,2,1,2,1,4,1,2,1,21
325,2,6,1,1,1,2,2,1,3,1,16
326,1,4,2,1,1,1,8,2,3,1,22
327,1,4,2,1,1,1,8,2,3,2,24
328,2,6,1,1,1,2,1,1,2,1,34
329,2,6,1,1,1,2,9,1,3,2,35
330,2,6,1,1,1,1,9,1,2,1,61
331,2,6,1,1,1,2,9,1,3,1,30
332,2,3,1,1,1,1,9,1,3,1,25
333,1,3,1,1,1,1,9,3,2,2,68
334,2,1,1,1,1,1,9,1,3,1,41
335,2,1,1,1,1,2,9,1,3,1,58
336,2,3,1,4,1,1,9,1,3,2,26
337,1,6,2,4,2,1,9,2,3,2,30
338,2,2,1,1,1,1,9,1,2,1,49
339,2,2,1,1,1,1,9,2,3,1,27
340,2,2,1,1,1,1,9,2,3,1,63
341,2,2,1,1,1,1,9,2,3,1,27
342,2,2,1,1,1,1,9,2,3,1,48
343,2,2,1,1,1,2,9,1,2,1,33
344,2,2,1,1,1,2,9,2,3,1,32
345,2,2,1,1,1,2,9,2,3,1,26
346,2,2,1,1,1,2,9,2,3,1,41
347,2,6,1,1,1,2,9,1,3,1,82
348,1,6,1,1,1,1,9,3,3,1,51
349,2,1,2,4,1,1,9,1,3,1,20
350,2,1,2,4,1,1,9,2,3,1,19
351,1,3,1,4,1,1,9,3,3,1,20
352,2,6,1,4,1,2,1,1,3,1,19
353,2,6,2,1,2,2,1,1,2,1,31
354,2,3,1,1,1,1,1,1,3,1,51
355,1,6,1,1,1,1,8,3,3,2,26
356,2,6,2,1,1,2,3,1,3,1,41
357,3,2,1,1,1,2,9,1,3,2,54
358,2,3,1,1,1,2,9,2,3,1,92
359,2,3,1,1,1,2,9,1,3,2,62
360,2,6,2,1,2,2,9,1,3,1,36
361,2,6,2,4,2,2,9,1,3,1,28
362,2,6,2,4,2,2,9,2,3,1,37
363,1,4,2,4,1,1,9,2,3,2,17
364,1,4,2,4,1,1,9,2,3,2,17
365,2,6,2,1,5,2,9,1,3,2,29
366,2,1,1,1,1,1,9,1,3,1,29
367,2,1,1,1,1,1,9,2,3,2,28
368,2,1,1,1,1,1,9,2,3,1,9
369,3,3,1,1,1,1,9,1,3,2,27
370,3,3,1,1,1,2,9,1,3,2,55
371,3,3,1,1,1,3,9,1,3,2,58
372,2,1,1,4,1,2,9,1,3,2,29
373,2,1,1,4,1,2,9,2,3,2,25
374,1,6,2,4,2,1,9,2,2,1,24
375,1,6,2,4,2,1,9,2,2,2,18
376,1,6,2,4,2,1,9,3,3,1,34
377,2,6,2,4,6,1,3,1,3,1,17
378,1,6,1,1,1,1,9,3,3,2,75
379,1,6,1,4,1,1,9,3,2,2,84
